אני לא מבין,no entiendo
זה לא עובד,no funciona
אין לי זמן,no tengo tiempo
אני צריך עזרה,necesito ayuda
איפה זה נמצא,dónde está
כמה זה עולה,cuánto cuesta
אני מסכים,estoy de acuerdo
אני לא מסכים,no estoy de acuerdo
זה חשוב לי,es importante para mí
אין בעיה,no hay problema
אני עייף,estoy cansado
אני רעב,tengo hambre
אני צמא,tengo sed
אני ממהר,tengo prisa
אני מאחר,llego tarde
אני מוקדם,llego temprano
זה ברור לי,me queda claro
זה לא ברור לי,no me queda claro
אני זוכר,recuerdo
אני לא זוכר,no recuerdo
אני מחכה לך,te espero
אני חוזר מחר,volveré mañana
אני צריך לחשוב,necesito pensar
תן לי רגע,dame un momento
אפשר לעזור לך,puedo ayudarte
תסביר שוב,explica otra vez
זה בסדר,está bien
זה לא בסדר,no está bien
אני מבין עכשיו,ahora entiendo
אין לי מושג,no tengo idea
אני בטוח,estoy seguro
אני לא בטוח,no estoy seguro
זה תלוי,depende
בוא נתחיל,empecemos
נסיים אחר כך,terminamos después